id,displayName,userPrincipalName,department,jobTitle,userType
e2a37f61-b19d-4e85-80e0-82ebd2a4d62a,Alexander King,alexander.king@blazefaction.com,IT,IT Administrator,Member
aecf7fb7-68e5-443d-b1ec-5cfe28d1d3af,Amelia Martin,amelia.martin@blazefaction.com,Engineering,QA Tester,Member
fb3f49f6-3f56-40b8-af1f-187dc10a663f,Avery Mitchell,avery.mitchell@blazefaction.com,Creative Leadership,Creative Director,Member
f188344e-c89d-42ac-9c68-76a60cc07f3b,Benjamin Clark,benjamin.clark@blazefaction.com,Customer Support,Support Lead,Member
b3fea279-3bbc-468b-888f-841a41129bb4,Blaze Carter,blaze.carter@blazefaction.com,Executive,CEO,Member
0e17c460-5f47-4848-bf1b-28a6b78ff8c3,Charlotte Evans,charlotte.evans@blazefaction.com,Customer Support,Support Specialist,Member
53ed0e7e-aeb2-4718-991a-b585e1b3faf3,Daniel Kim,daniel.kim@blazefaction.com,IT,IT Manager,Member
97bc8b41-9bb0-4116-84ac-90945f552219,Ella Thomas,ella.thomas@blazefaction.com,Art,Concept Artist,Member
1dcf059d-8da2-4968-bccf-25d84ae6b42e,Emma Wilson,emma.wilson@blazefaction.com,Art,3D Artist,Member
07d85edd-a7e1-4dc1-a536-909f1de63a30,Ethan Brooks,ethan.brooks@blazefaction.com,Engineering,Lead Software Engineer,Member
0518f59d-8ed5-4711-8ef8-113d51930ae6,Grace Moore,grace.moore@blazefaction.com,Customer Support,Support Specialist,Member
c5d1457d-e728-4b47-9da2-8c24e718b8b8,Harper Adams,harper.adams@blazefaction.com,Operations / HR,HR Manager,Member
11126a34-34e0-4456-9a3d-a259c84af0a3,Henry Turner,henry.turner@blazefaction.com,Engineering,Developer,Member
b327751f-675d-4550-bb49-6c8cb8bb82d9,Isabella Garcia,isabella.garcia@blazefaction.com,Audio,Sound Designer,Member
6e495465-3c9d-42da-b88d-20a05fc4e44e,Jackson Lee,jackson.lee@blazefaction.com,Audio,Audio Lead,Member
9cf765bd-7346-463b-8595-b2519c9ad757,James Walker,james.walker@blazefaction.com,Audio,Sound Designer,Member
b48dcba2-235d-47a7-8c11-8adf38fc3351,Jonathan Admin,jonathan@jsg1220outlook.onmicrosoft.com,,,Member
589e9c65-a7ec-457f-9f3c-855065aa8112,Jonathan Gribe,jsg1220_outlook.com#EXT#@jsg1220outlook.onmicrosoft.com,,,Member
59e64d01-d038-4726-9e15-410f6c6bf995,Jonathan Gribe,jgribe@blazefaction.com,Corporate Management,Chief Executive Officer,Member
7ade7fee-6682-4920-bff4-134ed4c5963e,Liam Foster,liam.foster@blazefaction.com,Art,Art Director,Member
35733dc1-3b73-4339-be04-18ae5f2b3ab0,Lucas Bennett,lucas.bennett@blazefaction.com,Art,Concept Artist,Member
d87dfbe0-6a53-4552-8cc2-8b2e89b9e6e3,Margaret Simmons,margaret.simmons@blazefaction.com,Art,Creative Director,Member
564f5586-1280-46fe-8b71-dd28cd7b15aa,Maya Patel,maya.patel@blazefaction.com,Engineering,Developer,Member
ffacc57b-ad1b-4ac4-8a04-b411e044b07d,Mia Anderson,mia.anderson@blazefaction.com,Engineering,Developer,Member
b0720339-adbd-4d94-b1dd-8a0a0c08b2ed,Michael White,michael.white@blazefaction.com,Design,UX/UI Designer,Member
32aad548-26ba-4624-9f42-68b85ab138b3,Natalie Johnson,Natalie.Johnson@blazefaction.com,,Software Engineering Lead,Member
831c0c15-47a3-4c03-9d55-4527a22259ab,Noah Reynolds,noah.reynolds@blazefaction.com,Engineering,Developer,Member
6812e7cf-4285-4193-a325-0e86f92a5699,Olivia Scott,olivia.scott@blazefaction.com,Design,UX/UI Designer,Member
5b1cc62d-089d-4980-8e2a-7dd4c7d8ef04,Sophia Nguyen,sophia.nguyen@blazefaction.com,Engineering,QA Tester,Member
34d0af28-7fce-41b9-8fb0-c55bca40a5cd,William Harris,william.harris@blazefaction.com,Art,3D Artist,Member
